message,label
"Congratulations! You won a free iPhone. Claim now",spam
"Hey, are we meeting tomorrow?",ham
"Limited time offer! Win cash prize now",spam
"Please send the project report by evening",ham
"Free entry in a lucky draw. Click here",spam
"Can you call me when you are free?",ham
"You have been selected for a reward",spam
"Let's have lunch together tomorrow",ham
"URGENT! Your account has won money",spam
"Meeting has been rescheduled to Monday",ham
"Exclusive offer just for you",spam
"Happy birthday! Have a great day",ham
"Win a free vacation ticket today",spam
"Please review the attached document",ham
"Earn money quickly from home",spam
"Are you available for the class today?",ham
"Claim your free cashback reward",spam
"Thank you for your purchase",ham
"Get free coupons and discounts now",spam
"Your order has been shipped successfully",ham
"Lowest prices guaranteed. Buy now",spam
"Can we discuss the assignment later?",ham
"You are selected as a lucky winner",spam
"Family dinner planned tonight",ham
"Free recharge available for limited users",spam
"Your interview is scheduled tomorrow",ham
"Congratulations! You received a bonus reward",spam
"Please update the meeting notes",ham
"Special discount offer ending soon",spam
"Hope you are doing well",ham
